ID,prefLabel,altLabel,definition,broader,exactMatch,closeMatch
https://soilwise-he.github.io/soil-health#BiologicalFeatures,biological features,biological feature,"The Biological Features examines qualitative aspects of soil biological activity, including the types of organisms present, their diversity, and their roles in soil ecosystems. It encompasses processes like nitrogen fixation, organic matter decomposition, and bioturbation. Source: Soil Science Society of America (SSSA) Glossary.",soil biology,http://w3id.org/glosis/model/layerhorizon/biologicalFeaturesProperty,
https://soilwise-he.github.io/soil-health#BiologicalNitrogenFixation,biological nitrogen fixation,,,soil biological processes,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#BiologicalNitrogenFixation,
https://soilwise-he.github.io/soil-health#Biomass,biomass,,,living entity,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#Biomass,
https://soilwise-he.github.io/soil-health#BiomassProductivity,biomass productivity,,,soil function indicators,,
https://soilwise-he.github.io/soil-health#BleachedSand,bleached sand,,"The Bleached Sand refers to the physical characteristic of sandy soil that has undergone a bleaching process due to leaching, where minerals such as iron and other elements have been removed by water. This process often occurs in areas with high rainfall, leading to a soil that appears lighter in color. Bleached sand typically indicates low fertility and poor nutrient-holding capacity due to the lack of iron and other nutrients that are washed away. Source: Brady, N. C., & Weil, R. R. (2008). The Nature and Properties of Soils (14th ed.). Pearson Prentice Hall.",sand,http://w3id.org/glosis/model/common/bleachedSandProperty,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-fc,BlkDensF_fe-cl-fc,,"Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-fc,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-od,BlkDensF_fe-cl-od,,"Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at oven dry, corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-od,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-unkn,BlkDensF_fe-cl-unk,,"Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at unknown humidity, corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-unkn,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-co-fc,BlkDensF_fe-co-fc,,"Fine earth. Core sampling (pF rings), at field capacity (0.33 bar, 33 kPa, 336 cm, pF 2.5), corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-fc,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-co-od,BlkDensF_fe-co-od,,"Fine earth. Core sampling (pF rings), at oven dry, corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-od,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-co-unkn,BlkDensF_fe-co-unk,,"Fine earth. Core sampling (pF rings), at unknown humidity, corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-unkn,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-rpl-unkn,BlkDensF_fe-rpl-unk,,"Fine earth. Excavation and replacement (i.e. soils too fragile to remove a stable sample) e.g. by auger, at unknown humidity, corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-rpl-unkn,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn,BlkDensF_fe-unk,,"Fine earth. Type of sample unknown, at unknown humidity, corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-fc,BlkDensF_fe-unkn-fc,,"Fine earth. Type of sample unknown, at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-fc,
https://soilwise-he.github.io/soil-health#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-od,BlkDensF_fe-unkn-od,,"Fine earth. Type of sample unknown, at oven dry, corrected for coarse fragments if any",bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-od,
https://soilwise-he.github.io/soil-health#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-fc,BlkDensW_we-cl-fc,,"Whole earth. Clod samples (natural clods), at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), not corrected for coarse fragments if any",bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-fc,
https://soilwise-he.github.io/soil-health#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-od,BlkDensW_we-cl-od,,"Whole earth. Clod samples (natural clods), at oven dry, not corrected for coarse fragments if any",bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-od,
https://soilwise-he.github.io/soil-health#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-unkn,BlkDensW_we-cl-unk,,"Whole earth. Clod samples (natural clods), at unknown humidity, not corrected for coarse fragments if any",bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-unkn,
https://soilwise-he.github.io/soil-health#bulkDensityWholeSoilProcedure-BlkDensW_we-co-fc,BlkDensW_we-co-fc,,"Whole earth. Core sampling (pF rings), at field capacity (0.33 bar, 33 kPa, 336 cm, pF 2.5), not corrected for coarse fragments if any",bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-fc,
https://soilwise-he.github.io/soil-health#bulkDensityWholeSoilProcedure-BlkDensW_we-co-od,BlkDensW_we-co-od,,"Whole earth. Core sampling (pF rings), at oven dry, not corrected for coarse fragments if any",bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-od,
https://soilwise-he.github.io/soil-health#bulkDensityWholeSoilProcedure-BlkDensW_we-co-unkn,BlkDensW_we-co-unk,,"Whole earth. Core sampling (pF rings), at unknown humidity, not corrected for coarse fragments if any",bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-unkn,
https://soilwise-he.github.io/soil-health#bulkDensityWholeSoilProcedure-BlkDensW_we-rpl-unkn,BlkDensW_we-rpl-unk,,"Whole earth. Excavation and replacement (i.e. soils too fragile to remove a stable sample) e.g. by auger, at unknown humidity, not corrected for coarse fragments if any",bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-rpl-unkn,
https://soilwise-he.github.io/soil-health#bulkDensityWholeSoilProcedure-BlkDensW_we-unkn,BlkDensW_we-unk,,"Whole earth. Type of sample unknown, at unknown humidity, not corrected for coarse fragments if any",bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-unkn,
https://soilwise-he.github.io/soil-health#Boron,boron,,,micronutrients,,
https://soilwise-he.github.io/soil-health#BoronExtractableElements,boron extractable elements,boron extractable element,Boron bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),boron,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Borext,
https://soilwise-he.github.io/soil-health#BoronTotalElements,boron total elements,boron total element,"Total boron includes all boron forms in soil, crucial for plant cell wall formation and reproductive processes. Deficiency can impair growth, while toxicity is a risk in arid soils or with excessive irrigation. Source: Havlin et al. (2014).",boron,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bortot,
https://soilwise-he.github.io/soil-health#BoundaryDistinctness,boundary distinctness,,"The Boundary Distinctness describes the sharpness of transitions between soil horizons. Boundaries can range from abrupt (clear demarcation) to diffuse (gradual blending), providing insights into soil formation processes and profile development. Source: Soil Survey Manual (USDA, 2017).",soil horizon boundary,http://w3id.org/glosis/model/layerhorizon/boundaryDistinctnessProperty,
https://soilwise-he.github.io/soil-health#BoundaryTopography,boundary topography,,"The Boundary Topography characterizes the shape of soil horizon boundaries, which may be smooth, wavy, irregular, or broken. It reflects processes like erosion, deposition, or biological activity that influence horizon development. Source: FAO (2006). Guidelines for Soil Description.",soil horizon boundary,http://w3id.org/glosis/model/layerhorizon/boundaryTopographyProperty,
https://soilwise-he.github.io/soil-health#baseSaturationProcedure-BSat_calcul-cec,BSat_calcul-cec,,"Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of CEC (method specified with CEC and ExchBases)",base saturation,http://w3id.org/glosis/model/procedure/baseSaturationProcedure-BSat_calcul-cec,
https://soilwise-he.github.io/soil-health#baseSaturationProcedure-BSat_calcul-ecec,BSat_calcul-ecec,,"Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of EffCEC (method specified with EffCEC and ExchBases)",base saturation,http://w3id.org/glosis/model/procedure/baseSaturationProcedure-BSat_calcul-ecec,
https://soilwise-he.github.io/soil-health#Building,building,,,land cover,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#Building,
https://soilwise-he.github.io/soil-health#BuildingStability,building stability,,,soil engineering functions,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#BuildingStability,
https://soilwise-he.github.io/soil-health#BulkDensity,bulk density,,,observable soil properties,,
https://soilwise-he.github.io/soil-health#BulkDensityFineEarth,bulk density fine earth,,"This parameter measures the bulk density of the soil fraction smaller than 2 mm (excluding rocks and coarse fragments). It is used to assess the physical properties of soil related to root growth, water movement, and compaction. Source: Soil Science Society of America.",soil bulk density,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-BulDfine,
https://soilwise-he.github.io/soil-health#BulkDensityMineral,bulk density mineral,,"The Bulk Density of Mineral Soil refers specifically to the density of the mineral portion of the soil, excluding organic matter. It provides insights into the physical state and compaction of mineral-dominated soils, influencing water movement and root growth. Source: Brady, N.C., & Weil, R.R. (2008). The Nature and Properties of Soils.",soil bulk density,http://w3id.org/glosis/model/layerhorizon/bulkDensityMineralProperty,
https://soilwise-he.github.io/soil-health#BulkDensityPeat,bulk density peat,,"The Bulk Density of Peat measures the mass of dry organic soil (peat) per unit volume. Peat soils typically have low bulk density due to their high organic matter content and porosity, which significantly affects their water retention and drainage characteristics. Source: Rydin, H., & Jeglum, J. (2006). The Biology of Peatlands.",soil bulk density,http://w3id.org/glosis/model/layerhorizon/bulkDensityPeatProperty,
https://soilwise-he.github.io/soil-health#BulkDensityWholeSoil,bulk density whole soil,,"This parameter measures the bulk density of the soil fraction smaller than 2 mm (excluding rocks and coarse fragments). It is used to assess the physical properties of soil related to root growth, water movement, and compaction. Source: Soil Science Society of America.",soil bulk density,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-BulDfine,
https://soilwise-he.github.io/soil-health#BurrowingAnimal,burrowing animal,,,animal,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#BurrowingAnimal,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-dc,CaCO3_acid-ch3cooh-dc,,"Dissolution of carbonates by Acetic acid [CH3COOH], external heat (dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-dc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-nodc,CaCO3_acid-ch3cooh-nodc,,"Dissolution of carbonates by Acetic acid [CH3COOH], no external (no dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-nodc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-unkn,CaCO3_acid-ch3cooh-unk,,"Dissolution of carbonates by Acetic acid [CH3COOH], external heat unknown",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-unkn,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-dc,CaCO3_acid-dc,,"Dissolution of carbonates by acid, external heat (dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-dc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-dc,CaCO3_acid-h2so4-dc,,"Dissolution of carbonates by Sulfuric acid [H2SO4], external heat (dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-dc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-nodc,CaCO3_acid-h2so4-nodc,,"Dissolution of carbonates by Sulfuric acid [H2SO4], no external (no dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-nodc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-unkn,CaCO3_acid-h2so4-unk,,"Dissolution of carbonates by Sulfuric acid [H2SO4], external heat unknown",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-unkn,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-dc,CaCO3_acid-h3po4-dc,,"Dissolution of carbonates by Phosphoric acid [H3PO4], external heat (dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-dc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-nodc,CaCO3_acid-h3po4-nodc,,"Dissolution of carbonates by Phosphoric acid [H3PO4], no external (no dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-nodc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-unkn,CaCO3_acid-h3po4-unk,,"Dissolution of carbonates by Phosphoric acid [H3PO4], external heat unknown",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-unkn,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-dc,CaCO3_acid-hcl-dc,,"Dissolution of carbonates by Hydrochloric acid [HCl], or Perchloric acid [HClO4], external heat (dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-dc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-nodc,CaCO3_acid-hcl-nodc,,"Dissolution of carbonates by Hydrochloric acid [HCl], or Perchloric acid [HClO4], no external (no dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-nodc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-unkn,CaCO3_acid-hcl-unk,,"Dissolution of carbonates by Hydrochloric acid [HCl], or Perchloric acid [HClO4], external heat unknown",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-unkn,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-nodc,CaCO3_acid-nodc,,"Dissolution of carbonates by acid, no external (no dry combustion)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-nodc,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_acid-unkn,CaCO3_acid-unk,,"Dissolution of carbonates by acid, external heat unknown",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-unkn,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca01,CaCO3_ca01,,Method of Scheibler (volumetric),total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca01,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca02,CaCO3_ca02,,Method of Wesemael,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca02,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca03,CaCO3_ca03,,Method of Piper (HCl),total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca03,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca04,CaCO3_ca04,,Calcimeter method (volumetric after adition of dilute acid),total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca04,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca05,CaCO3_ca05,,"Gravimetric (USDA Agr. Hdbk 60-/- method Richards et al., 1954)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca05,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca06,CaCO3_ca06,,"H3PO4 acid at 80C, conductometric in NaOH (Schlichting & Blume, 1966)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca06,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca07,CaCO3_ca07,,"Pressure calcimeter (Nelson, 1982)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca07,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca08,CaCO3_ca08,,Bernard calcimeter (Total CaCO3),total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca08,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca09,CaCO3_ca09,,"Carbonates: H3PO4 treatment at 80 deg. C and CO2 measurement like TOC (OC13), transformation into CaCO3 (Schlichting et al. 1995)",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca09,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca10,CaCO3_ca10,,"CaCO3 Equivalent, CO2 evolution after HCl treatment. Gravimetric",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca10,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca11,CaCO3_ca11,,"Black, 1965-HCl",total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca11,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_ca12,CaCO3_ca12,,Treatment with H2SO4 N/2 acid followed by titration with NaOH N/2 in presence of an indicator,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca12,
https://soilwise-he.github.io/soil-health#totalCarbonateEquivalentProcedure-CaCO3_calcul-tc-oc,CaCO3_calcul-tc-oc,,Indirect estimate: inorganic carbon divided by 0.12 (computed as total carbon minus organic carbon),total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_calcul-tc-oc,
https://soilwise-he.github.io/soil-health#Cadmium,cadmium,,,toxic elements,,
https://soilwise-he.github.io/soil-health#CadmiumExtractableElements,cadmium extractable elements,cadmium extractable element,"Cadmium is a heavy metal present in trace amounts in soils, often introduced through industrial pollution or phosphate fertilizers. It is toxic to plants, animals, and humans even at low concentrations. Monitoring cadmium levels is crucial to ensure soil safety and reduce contamination risks in the food chain. Source: Sparks, D.L. (2003).",cadmium,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Cad,
https://soilwise-he.github.io/soil-health#CadmiumTotalElements,cadmium total elements,cadmium total element,"Cadmium is a heavy metal present in trace amounts in soils, often introduced through industrial pollution or phosphate fertilizers. It is toxic to plants, animals, and humans even at low concentrations. Monitoring cadmium levels is crucial to ensure soil safety and reduce contamination risks in the food chain. Source: Sparks, D.L. (2003).",cadmium,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Cad,
https://soilwise-he.github.io/soil-health#Calcium,calcium,,,macronutrients,,
https://soilwise-he.github.io/soil-health#CalciumExchangeableBase,calcium exchangeable base,,Calcium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,calcium,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Calexc,
https://soilwise-he.github.io/soil-health#CalciumExtractableElements,calcium extractable elements,,Calcium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),calcium,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Calext,
https://soilwise-he.github.io/soil-health#CalciumTotalElements,calcium total elements,,"Total calcium in soil includes all forms, from exchangeable calcium to calcium in minerals. It is essential for plant cell wall structure, enzyme activation, and soil aggregation. Calcium levels influence soil pH and nutrient availability. Source: Havlin et al. (2014).",calcium,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Caltot,
https://soilwise-he.github.io/soil-health#CarbonStorageCapacity,carbon storage capacity,,,soil function indicators,,
https://soilwise-he.github.io/soil-health#Carbonate,carbonate,,,,,
https://soilwise-he.github.io/soil-health#CarbonateContents,carbonate contents,carbonate content,"The Carbonate Content quantifies the concentration of carbonate minerals (e.g., CaCO₃, MgCO₃) in soil. These compounds influence soil pH, fertility, and structure, and are prevalent in calcareous soils. Source: Brady, N.C., & Weil, R.R. (2008). The Nature and Properties of Soils.",carbonate,http://w3id.org/glosis/model/layerhorizon/carbonatesContentProperty,
